sample_alias,experiment_alias,fastq_1,fastq_2,md5_1,md5_2
W15_SO_NANOS1_MUT_OE_DOX,W15_SO_NANOS1_MUT_OE_DOX__RNAseq_PE,MUT_SOD_rep1_1.fq.gz,MUT_SOD_rep1_2.fq.gz,59f94a63c2e03326281ba3df6e2ae7e0,56787d3b7852a10caa72dd6194f07b6e
W15_SO_NANOS1_MUT_OE_DOX,W15_SO_NANOS1_MUT_OE_DOX__RNAseq_PE,MUT_SOD_rep2_1.fq.gz,MUT_SOD_rep2_2.fq.gz,1548f370db3cbee46e9447b554eb8c4d,4c19dc9c42dedd4cdd0fcb8e9fb0bbb0
W15_SO_NANOS1_MUT_OE_DOX,W15_SO_NANOS1_MUT_OE_DOX__RNAseq_PE,MUT_SOD_rep3_1.fq.gz,MUT_SOD_rep3_2.fq.gz,a80c4afe68c384b82aad696d61381485,b13b8038459d55e5ce8a89766b11ffdd
W15_SO_NANOS1_MUT_OE_noDOX,W15_SO_NANOS1_MUT_OE_noDOX__RNAseq_PE,MUT_SO_rep1_1.fq.gz,MUT_SO_rep1_2.fq.gz,bd25e296303196047d927830c409278d,82b442e9ab427d00dbabedd295a65b1c
W15_SO_NANOS1_MUT_OE_noDOX,W15_SO_NANOS1_MUT_OE_noDOX__RNAseq_PE,MUT_SO_rep2_1.fq.gz,MUT_SO_rep2_2.fq.gz,b880ae69d1a16f278640eaf445a9a4d9,9c0fe33647eeaffbcd8a18b10e1a72c0
W15_SO_NANOS1_MUT_OE_noDOX,W15_SO_NANOS1_MUT_OE_noDOX__RNAseq_PE,MUT_SO_rep3_1.fq.gz,MUT_SO_rep3_2.fq.gz,9a2b9e9fc2d50b27bd66f6fb1494eefb,d7e0b490a345a114db610a82c84753eb
W15_SO_DOX,W15_SO_DOX__RNAseq_PE,W15_SOD_rep1_1.fq.gz,W15_SOD_rep1_2.fq.gz,19cb27bf2f857922080e056ce4eb659a,2ad3d2528e0367311dcce464bc5f23a7
W15_SO_DOX,W15_SO_DOX__RNAseq_PE,W15_SOD_rep2_1.fq.gz,W15_SOD_rep2_2.fq.gz,b58a1fbbeeb18e32e423dca6c9ee7a9f,7c83e54caa6d9bbc645f28c0dcfa012d
W15_SO_DOX,W15_SO_DOX__RNAseq_PE,W15_SOD_rep3_1.fq.gz,W15_SOD_rep3_2.fq.gz,d567ef9081f52f0feca52b8a4013345f,7efd536206a217eae66a86b64ff7f8ff
W15_SO_noDOX,W15_SO_noDOX__RNAseq_PE,W15_SO_rep1_1.fq.gz,W15_SO_rep1_2.fq.gz,c99da182e5bdc199e8d77c972d0e0336,ab429f4eed5195b3550ed02a439a838c
W15_SO_noDOX,W15_SO_noDOX__RNAseq_PE,W15_SO_rep2_1.fq.gz,W15_SO_rep2_2.fq.gz,8f13413555cdf63fd54133bd69c4488e,d69c30ada4e2af8c15912ed5b7d509ed
W15_SO_noDOX,W15_SO_noDOX__RNAseq_PE,W15_SO_rep3_1.fq.gz,W15_SO_rep3_2.fq.gz,65d2e793147ef137d0ba8c5ece377a63,b27f78d154db584b27637e73666136a6
